Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyHours,MonthlyWorkingHours,Salary_per_hour
41,Yes,Travel_Rarely,1102,Sales,1,2,Life Sciences,2,Female,94,3,2,Sales Executive,4,Single,8,Yes,11,3,1,0,8,0,1,6,4,0,5,10,220,27.240909090909092
49,No,Travel_Frequently,279,Research & Development,8,1,Life Sciences,3,Male,61,2,2,Research Scientist,2,Married,1,No,23,4,4,1,10,3,3,10,7,1,7,8,176,29.147727272727273
37,Yes,Travel_Rarely,1373,Research & Development,2,2,Other,4,Male,92,2,1,Laboratory Technician,3,Single,6,Yes,15,3,2,0,7,3,3,0,0,0,0,10,220,9.5
33,No,Travel_Frequently,1392,Research & Development,3,4,Life Sciences,4,Female,56,3,1,Research Scientist,3,Married,1,Yes,11,3,3,0,8,3,3,8,7,3,0,10,220,13.222727272727273
27,No,Travel_Rarely,591,Research & Development,2,1,Medical,1,Male,40,3,1,Laboratory Technician,2,Married,9,No,12,3,4,1,6,3,3,2,2,2,2,8,176,19.704545454545453
32,No,Travel_Frequently,1005,Research & Development,2,2,Life Sciences,4,Male,79,3,1,Laboratory Technician,4,Single,0,No,13,3,3,0,8,2,2,7,7,3,6,8,176,17.431818181818183
59,No,Travel_Rarely,1324,Research & Development,3,3,Medical,3,Female,81,4,1,Laboratory Technician,1,Married,4,Yes,20,4,1,3,12,3,2,1,0,0,0,10,220,12.136363636363637
30,No,Travel_Rarely,1358,Research & Development,24,1,Life Sciences,4,Male,67,3,1,Laboratory Technician,3,Divorced,1,No,22,4,2,1,1,2,3,1,0,0,0,8,176,15.301136363636363
38,No,Travel_Frequently,216,Research & Development,23,3,Life Sciences,4,Male,44,2,3,Manufacturing Director,3,Single,0,No,21,4,2,0,10,2,3,9,7,1,8,8,176,54.125
36,No,Travel_Rarely,1299,Research & Development,27,3,Medical,3,Male,94,3,2,Healthcare Representative,3,Married,6,No,13,3,2,2,17,3,2,7,7,7,7,8,176,29.755681818181817
35,No,Travel_Rarely,809,Research & Development,16,3,Medical,1,Male,84,4,1,Laboratory Technician,2,Married,0,No,13,3,3,1,6,5,3,5,4,0,3,8,176,13.784090909090908
29,No,Travel_Rarely,153,Research & Development,15,2,Life Sciences,4,Female,49,2,2,Laboratory Technician,3,Single,0,Yes,12,3,4,0,10,3,3,9,5,0,8,10,220,19.05909090909091
31,No,Travel_Rarely,670,Research & Development,26,1,Life Sciences,1,Male,31,3,1,Research Scientist,3,Divorced,1,No,17,3,4,1,5,1,2,5,2,4,3,8,176,16.539772727272727
34,No,Travel_Rarely,1346,Research & Development,19,2,Medical,2,Male,93,3,1,Laboratory Technician,4,Divorced,0,No,11,3,3,1,3,2,3,2,2,1,2,8,176,15.119318181818182
28,Yes,Travel_Rarely,103,Research & Development,24,3,Life Sciences,3,Male,50,2,1,Laboratory Technician,3,Single,5,Yes,14,3,2,0,6,4,3,4,2,0,3,10,220,9.218181818181819
29,No,Travel_Rarely,1389,Research & Development,21,4,Life Sciences,2,Female,51,4,3,Manufacturing Director,1,Divorced,1,No,11,3,3,1,10,1,3,10,9,8,8,8,176,56.70454545454545
32,No,Travel_Rarely,334,Research & Development,5,2,Life Sciences,1,Male,80,4,1,Research Scientist,2,Divorced,0,Yes,12,3,4,2,7,5,2,6,2,0,5,10,220,14.99090909090909
22,No,Non-Travel,1123,Research & Development,16,2,Medical,4,Male,96,4,1,Laboratory Technician,4,Divorced,1,Yes,13,3,2,2,1,2,2,1,0,0,0,10,220,13.340909090909092
53,No,Travel_Rarely,1219,Sales,2,4,Life Sciences,1,Female,78,2,4,Manager,4,Married,2,No,16,3,3,0,31,3,3,25,8,3,7,8,176,87.6534090909091
38,No,Travel_Rarely,371,Research & Development,2,3,Life Sciences,4,Male,45,3,1,Research Scientist,4,Single,5,Yes,11,3,3,0,6,3,3,3,2,1,2,10,220,17.927272727272726
24,No,Non-Travel,673,Research & Development,11,2,Other,1,Female,96,4,2,Manufacturing Director,3,Divorced,0,No,18,3,4,1,5,5,2,4,2,1,3,8,176,22.789772727272727
36,Yes,Travel_Rarely,1218,Sales,9,4,Life Sciences,3,Male,82,2,1,Sales Representative,1,Single,7,No,23,4,2,0,10,4,3,5,3,0,3,8,176,19.357954545454547
34,No,Travel_Rarely,419,Research & Development,7,4,Life Sciences,1,Female,53,3,3,Research Director,2,Single,0,No,11,3,3,0,13,4,3,12,6,2,11,8,176,68.14772727272727
21,No,Travel_Rarely,391,Research & Development,15,2,Life Sciences,3,Male,96,3,1,Research Scientist,4,Single,1,No,14,3,4,0,0,6,3,0,0,0,0,8,176,7.0
