Age,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,DailyHours,MonthlyWorkingHours,Salary_per_hour,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes,Attrition_Probability,Risk_Level
41,1102,1,2,2,94,3,2,4,8,11,3,1,0,8,0,1,6,4,0,5,10,220,27.24090909090909,False,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,True,0.9015992181126669,High Risk
49,279,8,1,3,61,2,2,2,1,23,4,4,1,10,3,3,10,7,1,7,8,176,29.147727272727277,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,0.10705360007251574,Low Risk
37,1373,2,2,4,92,2,1,3,6,15,3,2,0,7,3,3,0,0,0,0,10,220,9.5,False,True,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,True,True,0.7286241365156233,High Risk
33,1392,3,4,4,56,3,1,3,1,11,3,3,0,8,3,3,8,7,3,0,10,220,13.222727272727273,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,0.3651970265769604,Medium Risk
27,591,2,1,1,40,3,1,2,9,12,3,4,1,6,3,3,2,2,2,2,8,176,19.704545454545453,False,True,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,False,False,0.8345213491622582,High Risk
32,1005,2,2,4,79,3,1,4,0,13,3,3,0,8,2,2,7,7,3,6,8,176,17.431818181818183,True,False,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,0.2725181239005978,Low Risk
59,1324,3,3,3,81,4,1,1,4,20,4,1,3,12,3,2,1,0,0,0,10,220,12.136363636363637,False,True,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,True,False,True,0.4426356138780358,Medium Risk
30,1358,24,1,4,67,3,1,3,1,22,4,2,1,1,2,3,1,0,0,0,8,176,15.301136363636363,False,True,True,False,True,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,0.3124453419560128,Medium Risk
38,216,23,3,4,44,2,3,3,0,21,4,2,0,10,2,3,9,7,1,8,8,176,54.125,True,False,True,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,0.3787323445743677,Medium Risk
36,1299,27,3,3,94,3,2,3,6,13,3,2,2,17,3,2,7,7,7,7,8,176,29.755681818181817,False,True,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,0.13213554189175408,Low Risk
